ID,cpu,ram,static,dynamic,dvfs
0,1.0,NA,NA,NA,NA
1,1.0,NA,NA,NA,NA
2,1.0,NA,NA,NA,NA
3,1.0,NA,NA,NA,NA
4,1.0,NA,NA,NA,NA
5,1.0,NA,NA,NA,NA
6,1.0,NA,NA,NA,NA
7,1.0,NA,NA,NA,NA
8,1.0,NA,NA,NA,NA
9,1.0,NA,NA,NA,NA
10,1.0,NA,NA,NA,NA
11,1.0,NA,NA,NA,NA
12,1.0,NA,NA,NA,NA
13,1.0,NA,NA,NA,NA
14,1.0,NA,NA,NA,NA
15,1.0,NA,NA,NA,NA
16,1.0,NA,NA,NA,NA
17,1.0,NA,NA,NA,NA
18,1.0,NA,NA,NA,NA
19,1.0,NA,NA,NA,NA
20,1.0,NA,NA,NA,NA
21,1.0,NA,NA,NA,NA
22,1.0,NA,NA,NA,NA
23,1.0,NA,NA,NA,NA
24,1.0,NA,NA,NA,NA
25,1.0,NA,NA,NA,NA
26,1.0,NA,NA,NA,NA
27,1.0,NA,NA,NA,NA
28,1.0,NA,NA,NA,NA
29,1.0,NA,NA,NA,NA
30,1.0,NA,NA,NA,NA
31,1.0,NA,NA,NA,NA
32,1.0,NA,NA,NA,NA
33,1.0,NA,NA,NA,NA
34,1.0,NA,NA,NA,NA
35,1.0,NA,NA,NA,NA
36,1.0,NA,NA,NA,NA
37,1.0,NA,NA,NA,NA
38,1.0,NA,NA,NA,NA
39,1.0,NA,NA,NA,NA
40,1.0,NA,NA,NA,NA
41,1.0,NA,NA,NA,NA
42,1.0,NA,NA,NA,NA
43,1.0,NA,NA,NA,NA
44,1.0,NA,NA,NA,NA
45,1.0,NA,NA,NA,NA
46,1.0,NA,NA,NA,NA
47,1.0,NA,NA,NA,NA
48,1.0,NA,NA,NA,NA
49,1.0,NA,NA,NA,NA
50,1.0,NA,NA,NA,NA
51,1.0,NA,NA,NA,NA
52,1.0,NA,NA,NA,NA
53,1.0,NA,NA,NA,NA
54,1.0,NA,NA,NA,NA
55,1.0,NA,NA,NA,NA
56,1.0,NA,NA,NA,NA
57,1.0,NA,NA,NA,NA
58,1.0,NA,NA,NA,NA
59,1.0,NA,NA,NA,NA
60,1.0,NA,NA,NA,NA
61,1.0,NA,NA,NA,NA
62,1.0,NA,NA,NA,NA
63,1.0,NA,NA,NA,NA
64,1.0,NA,NA,NA,NA
65,1.0,NA,NA,NA,NA
66,1.0,NA,NA,NA,NA
67,1.0,NA,NA,NA,NA
68,1.0,NA,NA,NA,NA
69,1.0,NA,NA,NA,NA
70,1.0,NA,NA,NA,NA
71,1.0,NA,NA,NA,NA
72,1.0,NA,NA,NA,NA
73,1.0,NA,NA,NA,NA
74,1.0,NA,NA,NA,NA
75,1.0,NA,NA,NA,NA
76,1.0,NA,NA,NA,NA
77,1.0,NA,NA,NA,NA
78,1.0,NA,NA,NA,NA
79,1.0,NA,NA,NA,NA
80,1.0,NA,NA,NA,NA
81,1.0,NA,NA,NA,NA
82,1.0,NA,NA,NA,NA
83,1.0,NA,NA,NA,NA
84,1.0,NA,NA,NA,NA
85,1.0,NA,NA,NA,NA
86,1.0,NA,NA,NA,NA
87,1.0,NA,NA,NA,NA
88,1.0,NA,NA,NA,NA
89,1.0,NA,NA,NA,NA
90,1.0,NA,NA,NA,NA
91,1.0,NA,NA,NA,NA
92,1.0,NA,NA,NA,NA
93,1.0,NA,NA,NA,NA
94,1.0,NA,NA,NA,NA
95,1.0,NA,NA,NA,NA
96,1.0,NA,NA,NA,NA
97,1.0,NA,NA,NA,NA
98,1.0,NA,NA,NA,NA
